id,titre,prix,localisation,date_creation_iso,date_creation_formatee,date_creation_jour,jours_ecoules
93744963,Paris 16e - 150 m² - 5 pièces - 3 chambres,1 495 000 €,Metro Mirabeau · 2b Square Henry Paté,2025-11-17T08:32:49.000Z,2025-11-17 08:32:49,2025-11-17,20
93744985,Paris 15e - 68 m² - 3 pièces - 2 chambres,795 000 €,Metro Volontaires · 25 Rue Paul Barruel,2025-11-17T08:32:49.000Z,2025-11-17 08:32:49,2025-11-17,20
93744981,Paris 15e - 161 m² - 7 pièces - 5 chambres,1 795 000 €,Metro La Motte-Picquet-Grenelle · 37 Rue Violet,2025-11-17T08:32:49.000Z,2025-11-17 08:32:49,2025-11-17,20
93744978,Paris 15e - 110 m² - 5 pièces - 3 chambres,1 990 000 €,Metro Javel-André-Citroen,2025-11-17T08:32:49.000Z,2025-11-17 08:32:49,2025-11-17,20
93744977,Paris 15e - 167 m² - 6 pièces - 4 chambres,1 498 000 €,Metro Porte de Versailles · 51 Rue Desnouettes,2025-11-17T08:32:49.000Z,2025-11-17 08:32:49,2025-11-17,20
93744968,Paris 15e - 116 m² - 5 pièces - 4 chambres,998 000 €,Paris 15e (75015),2025-11-17T08:32:49.000Z,2025-11-17 08:32:49,2025-11-17,20
93744971,Paris 7e - 95 m² - 3 pièces - 2 chambres,1 760 000 €,Metro Rue du Bac · 30 Rue des Saints-Pères,2025-11-17T08:32:49.000Z,2025-11-17 08:32:49,2025-11-17,20
93744965,Paris 7e - 54 m² - 2 pièces - 1 chambres,695 000 €,Metro Ségur · 26 Rue du Général Bertrand,2025-11-17T08:32:49.000Z,2025-11-17 08:32:49,2025-11-17,20
93744974,Paris 6e - 27 m² - 2 pièces - 1 chambres,450 000 €,Metro Rennes · 9 Rue Dupin,2025-11-17T08:32:49.000Z,2025-11-17 08:32:49,2025-11-17,20
93744970,Paris 6e - 75 m² - 4 pièces - 2 chambres,1 380 000 €,Metro Odéon · 55 Quai des Grands Augustins,2025-11-17T08:32:49.000Z,2025-11-17 08:32:49,2025-11-17,20
93744666,Paris 20e - 65 m² - 3 pièces - 2 chambres,549 000 €,Metro Porte de Bagnolet,2025-11-17T08:21:11.000Z,2025-11-17 08:21:11,2025-11-17,20
93744663,Paris 20e - 62 m² - 2 pièces - 1 chambres,385 000 €,Metro Avron,2025-11-17T08:21:11.000Z,2025-11-17 08:21:11,2025-11-17,20
93744662,Paris 20e - 50 m² - 3 pièces - 2 chambres,399 000 €,Metro Avron,2025-11-17T08:21:11.000Z,2025-11-17 08:21:11,2025-11-17,20
93744661,Paris 20e - 49 m² - 1 pièces,449 000 €,Metro Avron,2025-11-17T08:21:11.000Z,2025-11-17 08:21:11,2025-11-17,20
93744575,Paris 11e - 102 m² - 2 pièces - 1 chambres,1 099 000 €,Metro Bastille,2025-11-17T08:16:56.000Z,2025-11-17 08:16:56,2025-11-17,20
93744572,Paris 11e - 34 m² - 2 pièces - 1 chambres,329 000 €,Metro Nation,2025-11-17T08:16:56.000Z,2025-11-17 08:16:56,2025-11-17,20
93744573,Paris 20e - 113 m² - 4 pièces - 2 chambres,949 000 €,Metro Gambetta,2025-11-17T08:16:56.000Z,2025-11-17 08:16:56,2025-11-17,20
93744570,Paris 20e - 76 m² - 4 pièces - 3 chambres,649 000 €,Metro Porte de Vincennes,2025-11-17T08:16:56.000Z,2025-11-17 08:16:56,2025-11-17,20
93744571,Paris 12e - 72 m² - 3 pièces - 2 chambres,798 000 €,Metro Gare de Lyon,2025-11-17T08:16:56.000Z,2025-11-17 08:16:56,2025-11-17,20
93744569,Paris 12e - 84 m² - 4 pièces - 2 chambres,849 000 €,Metro Bastille,2025-11-17T08:16:56.000Z,2025-11-17 08:16:56,2025-11-17,20
93744568,Paris 4e - 60 m² - 2 pièces - 1 chambres,679 000 €,Metro Bastille,2025-11-17T08:16:56.000Z,2025-11-17 08:16:56,2025-11-17,20
93744493,Paris 12e - 33 m² - 2 pièces - 1 chambres,344 000 €,Metro Daumesnil,2025-11-17T08:11:44.000Z,2025-11-17 08:11:44,2025-11-17,20
93743055,Paris 17e - 63 m² - 3 pièces - 2 chambres,615 000 €,Metro La Fourche · 34 Rue du Docteur Heulin,2025-11-17T07:25:49.000Z,2025-11-17 07:25:49,2025-11-17,20
93741387,Paris 14e - 74 m² - 3 pièces - 2 chambres,725 000 €,Paris 14e (75014),2025-11-17T06:55:56.000Z,2025-11-17 06:55:56,2025-11-17,20
93740858,Paris 16e - 92 m² - 4 pièces - 3 chambres,1 050 000 €,Metro Porte d'Auteuil,2025-11-17T05:55:53.000Z,2025-11-17 05:55:53,2025-11-17,20
93736465,Paris 16e - 90 m² - 3 pièces - 2 chambres,949 000 €,Metro Mirabeau · 5 Rue Paul Dupuy,2025-11-17T01:57:38.000Z,2025-11-17 01:57:38,2025-11-17,20
93736384,Paris 17e - 155 m² - 5 pièces - 3 chambres,2 000 000 €,Metro Wagram · 42 Rue Cardinet,2025-11-17T01:43:18.000Z,2025-11-17 01:43:18,2025-11-17,20
